id,crystal_structure(core/shell),Space group(core),Space group(shell),chemical formula,Structure,length (D),width,depth,shape,core_1,core_2(shell),Name,synonyms,Cas rn (core_1),Cas rn (core_2),Exp type,Scale bar (nm),microphotography pic,Spectrum,JCPDS card (core),JCPDS card (shell),X-ray tube (nm),Instrument,Crystalline size,Material fraction,curie temperature (K),temperature (K),H-range min (kOe),H-range max(kOe),Ms (emu/g),Hc (Oe),Mr (emu/g),Instrument,exchange bias shift Hb or Heb(Oe),vertical loop shift M vsl (emu/g),M-H curve,cooling fields (mT),FC field(T),"Hc of measurement (kOe) ",applied field(kOe),Article id,Method,Tb,Keff (effective anisotropy constant) (erg/cm3),Keff (Jm^-3),"Total magnetization ",Atomic mass ratio,Number of magnetic ions per unit cell,get_exchange_group_info,number_of_unique_magnetic_sites,number_of_magnetic_sites
210,cubic,fm3m,0,NiO,NiO,11.6,11.6,11.6,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,FESEM,2000,1,1,,0,0.15417,Rigaku Ultima (IV),11.6,NiO,,10,-10,10,,77.3,0.016,PPMS-Quanta Design E-2,2120,0.52,1,1000,1,10,,doi.org/10.1007/s10853-023-08853-1,combustion method,125,,,,,,,,
211,cubic,fm3m,0,NiO,NiO,24.7,24.7,24.7,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,FESEM,2000,1,1,,0,0.15417,Rigaku Ultima (IV),24.7,NiO,,10,-10,10,,64.5,0.002,PPMS-Quanta Design E-2,180,0.08,1,1000,1,10,,doi.org/10.1007/s10853-023-08853-1,combustion method,215,,,,,,,,
212,cubic,fm3m,0,NiO,NiO,29.4,29.4,29.4,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,FESEM,2000,1,1,,0,0.15417,Rigaku Ultima (IV),29.4,NiO,,10,-10,10,,61.9,0.01175,PPMS-Quanta Design E-2,390,0.04,1,1000,1,10,,doi.org/10.1007/s10853-023-08853-1,combustion method,,,,,,,,,
213,cubic,fm3m,0,NiO,NiO,34.9,34.9,34.9,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,FESEM,2000,1,1,,0,0.15417,Rigaku Ultima (IV),34.9,NiO,,10,-10,10,,55.9,0.012,PPMS-Quanta Design E-2,190,0.03,1,1000,1,10,,doi.org/10.1007/s10853-023-08853-1,combustion method,,,,,,,,,
214,cubic,fm3m,0,NiO,NiO,36.8,36.8,36.8,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,FESEM,2000,1,1,,0,0.15417,Rigaku Ultima (IV),36.8,NiO,,10,-10,10,,49.8,0.012,PPMS-Quanta Design E-2,110,0.01,1,1000,1,10,,doi.org/10.1007/s10853-023-08853-1,combustion method,,,,,,,,,
215,cubic,fm3m,i41/amd,MnO@Mn3O4,Mn3O4,17.2,17.2,17.2,sphere,Mn1O1,Mn3O4,,,1344-43-0,1317-35-7,TEM,100,1,1,07-0230,,0.154059,Bruke D2,17.2,MnO@Mn3O4,42,10,-20,20,,,,MPMS-XL,-490,,1,5000,5,50,,doi.org/10.1063/1.4979919,thermal decomposition of metal organic precursors,25,,,,,,,,
216,"cubic, cubic",fm3m,i41/amd,MnO@Mn3O4,MnO@Mn3O4,25,25,25,sphere,Mn1O1,Mn3O4,,,1344-43-0,1317-35-7,TEM,100,1,1,24-0734,,0.154059,Bruke D3,17.2,MnO@Mn3O4,42,10,-20,20,,,,MPMS-XL,-3600,,1,5000,5,50,,doi.org/10.1063/1.4979919,thermal decomposition of metal organic precursors,42,,,,,,,,
217,"cubic, tetrahedral",fd3m,p41212,Fe3O4–Fe2O3,Fe3O4–γ-Fe2O3,9,9,9,sphere,Fe3O4,Fe2O3,,,1317-61-9,1309-37-1,TEM,5,1,1,,,,PANalytical X’Pert Pro X-ray,9,Fe3O4–γ-Fe2O,820,2,-3,3,65.32,249,21.27,Quantum Design,5,0,1,1000,1,10,,doi.org/10.3390/nano7120415,chemical precipitation method,,,,,,,,,
218,"cubic, tetrahedral",fd3m,p41212,Fe3O4–Fe2O3,Fe3O4–γ-Fe2O3,9,9,9,sphere,Fe3O4,Fe2O3,,,1317-61-9,1309-37-1,TEM,5,1,1,,,,PANalytical X’Pert Pro X-ray,9,Fe3O4–γ-Fe2O,820,2,-3,3,64.54,247,22.22,Quantum Design,5,0,1,1000,1,10,,doi.org/10.3390/nano7120415,chemical precipitation method,,,,,,,,,
219,"cubic, tetrahedral",fd3m,p41212,Fe3O4–Fe2O3,Fe3O4–γ-Fe2O3,11,11,11,sphere,Fe3O4,Fe2O3,,,1317-61-9,1309-37-1,TEM,10,1,1,,,,PANalytical X’Pert Pro X-ray,11,Fe3O4–γ-Fe2O,820,2,-2,2,96,234,32.89,Quantum Design,-20,0,1,3000,3,30,,doi.org/10.3390/nano7120415,chemical precipitation method,,,,,,,,,
220,"cubic, tetrahedral",fd3m,p41212,Fe3O4–Fe2O3,Fe3O4–γ-Fe2O3,11,11,11,sphere,Fe3O4,Fe2O3,,,1317-61-9,1309-37-1,TEM,50,1,1,,,,PANalytical X’Pert Pro X-ray,13,Fe3O4–γ-Fe2O,820,300,-1,1,77.27,35,4.29,Quantum Design,6,0,1,3000,3,30,,doi.org/10.3390/nano7120415,chemical precipitation method,,,,,,,,,
221,"cubic ",fd3m,0,Co3O4,Co3O4,40,40,40,cubic,Co3O4,0,cobalt oxide,cobalt tetroxide,1308-06-01,0,TEM,500,1,1,43-1003,,0.15406,Bruker D8,46,Co3O4@rGO,,2,-60,60,3.5,66.6,0.01026,MPMS-5,0,0,1,0,0,0,,doi.org/10.1039/c8cp06659k,sol–gel,,,,,,,,,
222,"cubic ",fd3m,0,Co3O4,Co3O4,35,35,35,cubic,Co3O4,0,cobalt oxide,cobalt tetroxide,1308-06-01,0,TEM,500,1,1,43-1003,,0.15406,Bruker D8,46,Co3O4@rGO,,2,-60,60,3.5,134.375,0.01304,MPMS-5,-34.375,0,1,1000,1,10,,doi.org/10.1039/c8cp06659k,sol–gel,,,,,,,,,
223,"cubic ",fd3m,0,Co3O4,Co3O4,35,35,35,cubic,Co3O4,0,cobalt oxide,cobalt tetroxide,1308-06-01,0,TEM,500,1,1,43-1003,,0.15406,Bruker D8,46,Co3O4@rGO,,2,-60,60,3.5,127,0.0217,MPMS-5,40,0,1,1000,1,10,,doi.org/10.1039/c8cp06659k,sol–gel,,,,,,,,,
224,orthorhombic,pbnm,0,LaFeO3,LaFeO3,24.87,24.87,24.87,sphere,La1Fe1O3,0,lanthanum iton oxide,lanthanum iron garnet,12022-43-4,0,TEM,100,,,,,0.154,SIEMENS D5000,24.87,LaFeO3,,300,-20,20,0.22718,290,0.01331,VSM,-100,0.004375,,0,0,0,20,doi.org/10.1080/00150193.2019.1652509,hydrothermal-assisted co-precipitation,,,,,,,,,
225,,fm3m,0,NiO,NiO,22.2,22.2,22.2,sphere,Ni1O1,0,nickel oxide,,12035-36-8,0,,,,,,,,,22.6,NiO,,2,-80,80,5.32,3769,0.63,Quantum Design/MPMS 3,0,0,,7000,7,70,,doi.org/10.1016/j.heliyon.2023.e22876,,,,,,,,,,
226,cubic,fd3m,0,Ni0.99Fe0.01O,Ni0.99Fe0.01O,19.7,19.7,19.7,polyhedral,Ni0.99Fe0.01O1,0,Fe-doped NiO,,7439-89-6,1313-99-1,,,,,,,,,21.4,Ni0.99Fe0.01O,,2,-80,80,,1922,0.09,Quantum Design/MPMS 3,,,0,7000,7,70,,doi.org/10.1016/j.heliyon.2023.e22876,"freeze-drying and heat-treatments at 600 ◦C, 500 ◦C and 400 ◦C",,,,,,,,,
227,cubic,fd3m,0,Ni0.98Fe0.02O,Ni0.98Fe0.02O,18.6,18.6,18.6,polyhedral,Ni0.98Fe0.02O1,0,Fe-doped NiO,,7439-89-6,1313-99-1,,,,,,,,,19,Ni0.98Fe0.02O,,2,-80,80,1.368,2110,0.09,Quantum Design/MPMS 3,454.54,0,,7000,7,70,,doi.org/10.1016/j.heliyon.2023.e22876,"freeze-drying and heat-treatments at 600 ◦C, 500 ◦C and 400 ◦C",,,,,,,,,
228,cubic,fd3m,0,Ni0.96Fe0.04O,Ni0.96Fe0.04O,15.2,15.2,15.2,polyhedral,Ni0.96Fe0.04O1,0,Fe-doped NiO,,7439-89-6,1313-99-1,,,,,,,,,18.3,Ni0.96Fe0.04O,,2,-70,70,3.5,4354.1,0.53,Quantum Design/MPMS 3,0,0,,7000,7,70,,10.1016/j.heliyon.2023.e22876,"freeze-drying and heat-treatments at 600 ◦C, 500 ◦C and 400 ◦C",,,,,,,,,
229,cubic,fd3m,0,Ni0.97Fe0.03O,Ni0.97Fe0.03O,12.2,12.2,12.2,polyhedral,Ni0.97Fe0.03O1,0,Fe-doped NiO,,7439-89-6,1313-99-1,,,,,,,,,18.9,Ni0.97Fe0.03O,,2,-80,80,0.4,1657,0.02,Quantum Design/MPMS 3,-1879,0.062,,7000,7,70,,doi.org/10.1016/j.heliyon.2023.e22876,"freeze-drying and heat-treatments at 600 ◦C, 500 ◦C and 400 ◦C",250,,,,,,,,
230,"hexagonal close-packed, cubic",p3m1,fm3m,Co/CoO,Co/CoO,16,16,16,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,200,1,1,"15-0806, 42-1300",,,D8-ADVANCE,,Co/CoO,,5,-40,40,100.6,1333,15.3,"Quantum Design, MPMS",-631.7,4.68,1,5000,5,50,,10.1063/1.5041017,eco-friendly synthetic,,,,,,,,,
231,"hexagonal close-packed, cubic",p3m1,fm3m,Co/CoO,Co/CoO,200,200,200,sphere,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,500,1,1,"15-0806, 42-1300",,,D8-ADVANCE,,Co/CoO,,5,-40,40,76.1,523.8,4.68,"Quantum Design, MPMS",-456.2,2.7,1,5000,5,50,,10.1063/1.5041017,eco-friendly synthetic,,,,,,,,,
232,"hexagonal close-packed, cubic",p3m1,fm3m,Co/CoO,Co/CoO,300,300,300,octahedral,Co1,Co1O1,,,7440-48-4,1307-96-6,TEM,500,1,1,"15-0806, 42-1300",,,D8-ADVANCE,,Co/CoO,,5,-40,40,74.6,523.8,4.68,"Quantum Design, MPMS",47.6,-0.85,1,5000,5,50,,10.1063/1.5041017,eco-friendly synthetic,,,,,,,,,
233,orthorhombic,pnma,0,Ag0.5Cr2.5O4,Ag0.5Cr2.5O4,93.1,39.5,0,rod,Ag0.5Cr2.5O4,0,Cr ion-doped Ag,,7784-01-02,0,HRTEM,100,1,,,,0.15424,,72.61,Ag0.5Cr2.5O4,,300,-25,25,0.31209,7.1935,0.0001,VSM,0,0,1,0,0,0,,10.1007/s10948-017-4340-x,flash auto-combustion reaction,,,,,,,,,
234,orthorhombic,pnma,0,Ag0.5Cr2.5O4,Ag0.5Cr2.5O4,93.1,39.5,0,rod,Ag0.5Cr2.5O4,0,Cr ion-doped Ag,,7784-01-02,0,,,,,,,,,,,,200,-25,25,0.56532,663.75,0.148,VSM,0,-0.1875,1,2000,2,20,,10.1007/s10948-017-4340-x,flash auto-combustion reaction,,,,,,,,,
235,orthorhombic,pnma,0,Ag0.5Cr2.5O4,Ag0.5Cr2.5O4,93.1,39.5,0,rod,Ag0.5Cr2.5O4,0,Cr ion-doped Ag,,7784-01-02,0,,,,,,,,,,,,100,-25,25,0.78491,1507,0.174,VSM,-2173.9,-0.125,1,2000,2,20,,10.1007/s10948-017-4340-x,flash auto-combustion reaction,,,,,,,,,
236,trigonal,r3m,0,AgCrO2,AgCrO2,120.9,58.75,0,rod,Ag1Cr1O2,0,Cr ion-doped Ag,,,0,HRTEM,100,1,,70-1703,,0.15424,,77.1,AgCrO2,,300,-25,25,0.18978,32.093,0.0003,VSM,0,0,1,0,0,0,,10.1007/s10948-017-4340-x,flash auto-combustion reaction,,,,,,,,,
237,trigonal,r3m,0,AgCrO2,AgCrO2,120.9,58.75,0,rod,Ag1Cr1O2,0,Cr ion-doped Ag,,,0,,,,,70-1703,,,,,,,200,-25,25,0.31956,0,0.006,VSM,0,-0.125,1,2000,2,20,,10.1007/s10948-017-4340-x,flash auto-combustion reaction,,,,,,,,,
238,trigonal,r3m,0,AgCrO2,AgCrO2,120.9,58.75,0,rod,Ag1Cr1O2,0,Cr ion-doped Ag,,,0,,,,,70-1703,,,,,,,100,-25,25,0.15146,3032.9,0.012,VSM,0,-0.0479,1,2000,2,20,,10.1007/s10948-017-4340-x,flash auto-combustion reaction,,,,,,,,,
239,cubic,fd3m,0,CoFe2O4,CoFe2O4,37,37,37,sphere,Co1Fe2O4,0,CFO,cobalt iron oxide,12052-28-7,0,HRTEM,20,1,,,,,X’pert Pro,37,CoFe2O4,,300,-60,60,77.6,860,39.3,,0,0,1,0,0,0,,10.1038/s41598-019-55649-y,seed mediated growth in polyol and subsequently consolidated,,,,,,,,,
240,"fcc, cubic ",fd3m,fm3m,CoFe2O4/CoO,CoFe2O4/CoO,27,27,27,,Co1Fe2O4,Co1O1,CFO-CO,,12052-28-7,1307-96-6,HRTEM,20,1,,,,,X’pert Pro,100,CoFe2O4/CoO,,300,-60,60,76,620,22,,0,0,1,0,0,0,,10.1038/s41598-019-55649-y,seed mediated growth in polyol and subsequently consolidated,,,,,,,,,
241,"fcc, cubic ",fd3m,fm3m,CoFe2O4/CoO,CoFe2O4/CoO,27,27,27,,Co1Fe2O4,Co1O1,CFO-CO,,12052-28-7,1307-96-6,SEM,100,1,,,,,,,,,5,-15,15,88.8,2400,56.4,,0,0,1,7000,7,70,,10.1038/s41598-019-55649-y,seed mediated growth in polyol and subsequently consolidated,,,,,,,,,
242,"fcc, cubic ",fd3m,fm3m,CoFe2O4/CoO,CoFe2O4/CoO,27,27,27,,Co1Fe2O4,Co1O1,CFO-CO,,12052-28-7,1307-96-6,SEM,100,1,,,,,,,,,5,-15,15,83.2,4300,48,,-280,0,1,7000,7,70,,10.1038/s41598-019-55649-y,seed mediated growth in polyol and subsequently consolidated,,,,,,,,,
243,"fcc, cubic ",fd3m,fm3m,CoFe2O4/CoO,CoFe2O4/CoO,27,27,27,,Co1Fe2O4,Co1O1,CFO-CO,,12052-28-7,1307-96-6,,,,,,,,,,,,5,-50,50,80.7,4290,45.5,,-300,0,,3000,3,30,,10.1038/s41598-019-55649-y,seed mediated growth in polyol and subsequently consolidated,,,,,,,,,
244,"fcc, cubic ",fd3m,fm3m,CoFe2O4/CoO,CoFe2O4/CoO,27,27,27,,Co1Fe2O4,Co1O1,CFO-CO,,12052-28-7,1307-96-6,,,,,,,,,,,,5,-50,50,81,4240,45.4,,-300,0,,5000,5,50,,10.1038/s41598-019-55649-y,seed mediated growth in polyol and subsequently consolidated,,,,,,,,,
245,"fcc, cubic ",fd3m,fm3m,CoFe2O4/CoO,CoFe2O4/CoO,27,27,27,,Co1Fe2O4,Co1O1,CFO-CO,,12052-28-7,1307-96-6,,,,,,,,,,,,5,-50,50,83.8,4240,45.4,,-280,0,,7000,7,70,,10.1038/s41598-019-55649-y,seed mediated growth in polyol and subsequently consolidated,,,,,,,,,
246,cubic,fm3m,0,NiO,NiO,16.6,16.6,16.6,pseudo-spherical,Ni1O1,0,nickel oxide,,1313-99-1,0,HRTEM,20,,,,,,,,,,25,-1,1,,769.23,0.0283,MPMS-SQUID,45,-0.001023,1,2000,2,20,0.1,10.1039/C5RA24673C,sol-gel,178,,,,,,,,
247,cubic,fm3m,0,NiO,NiO,16.6,16.6,16.6,pseudo-spherical,Ni1O1,0,nickel oxide,,1313-99-1,0,HRTEM,20,,,,,,,,,,25,-1,1,,861.53,0.0316,MPMS-SQUID,-48,0.00186,1,2000,2,20,0.1,10.1039/C5RA24673C,sol-gel,178,,,,,,,,
248,cubic,fm3m,0,NiO,NiO,19.5,19.5,19.5,pseudo-spherical,Ni1O1,0,nickel oxide,,1313-99-1,0,HRTEM,20,,,,,,,,,,25,-0.3,0.3,,193,0.0111,MPMS-SQUID,24,-0.00111,1,2000,2,20,0.1,10.1039/C5RA24673C,sol-gel,198,,,,,,,,
249,cubic,fm3m,0,NiO,NiO,19.5,19.5,19.5,pseudo-spherical,Ni1O1,0,nickel oxide,,1313-99-1,0,HRTEM,20,,,,,,,,,,25,-0.3,0.3,,190,0.010925,MPMS-SQUID,-21,0.0010185,1,2000,2,20,0.1,10.1039/C5RA24673C,sol-gel,198,,,,,,,,
250,cubic,fm3m,0,NiO,NiO,29,29,29,pseudo-spherical,Ni1O1,0,nickel oxide,,1313-99-1,0,HRTEM,20,,,,,,,,,,25,-0.2,0.2,,75.47,0.0011625,MPMS-SQUID,10,-0.0001875,1,2000,2,20,0.1,10.1039/C5RA24673C,sol-gel,306,,,,,,,,
251,cubic,fm3m,0,NiO,NiO,29,29,29,pseudo-spherical,Ni1O1,0,nickel oxide,,1313-99-1,0,HRTEM,20,,,,,,,,,,25,-0.2,0.2,,71.7,0.00111,MPMS-SQUID,-14,0.0003111,1,2000,2,20,0.1,10.1039/C5RA24673C,sol-gel,306,,,,,,,,
252,cubic,fm3m,0,NiO,NiO,31,31,31,pseudo-spherical,Ni1O1,0,nickel oxide,,1313-99-1,0,HRTEM,40,,,,,,,,,,25,-0.2,0.2,,3.8,0.000007775,MPMS-SQUID,-1.5,,1,2000,2,20,0.1,10.1039/C5RA24673C,sol-gel,374,,,,,,,,
253,cubic,fm3m,0,NiO,NiO,31,31,31,pseudo-spherical,Ni1O1,0,nickel oxide,,1313-99-1,0,HRTEM,40,,,,,,,,,,25,-0.2,0.2,,3.8,0.000005655,MPMS-SQUID,-12,,1,2000,2,20,0.1,10.1039/C5RA24673C,sol-gel,374,,,,,,,,
254,cubic,fm3m,0,NiO,NiO,54,54,54,pseudo-spherical,Ni1O1,0,nickel oxide,,1313-99-1,0,HRTEM,,,,,,,,,,,25,-0.2,0.2,,24528,0.00125,MPMS-SQUID,-3,-0.000208,1,2000,2,20,0.1,10.1039/C5RA24673C,sol-gel,,,,,,,,,
255,cubic,fm3m,0,NiO,NiO,54,54,54,pseudo-spherical,Ni1O1,0,nickel oxide,,1313-99-1,0,HRTEM,,,,,,,,,,,25,-0.2,0.2,,16981,0.00009,MPMS-SQUID,3,0,1,2000,2,20,0.1,10.1039/C5RA24673C,sol-gel,,,,,,,,,
256,"cubic, cubic",fd3m,fd3m,CoO/NiFe2O4,CoO/NiFe2O4,14.8,14.8,14.8,pseudospherically,Co1O1,Ni1Fe2O4,,,1307-96-6,12168-54-6,HRTEM,,1,1,,,0.15,a Bruker D8 Discover,14.8,CoO/NiFe2O4,,5,-25,25,24.6,7412,19.8,PPMS,-168,0,1,5,0.005,0.05,,10.1063/9.0000561,thermal decomposition and hydrothermal synthesis,,,,,,,,,
257,"cubic, cubic",fd3m,fd3m,CoO/NiFe2O4,CoO/NiFe2O4,18.1,18.1,18.1,pseudospherically,Co1O1,Ni1Fe2O4,,,1307-96-6,12168-54-6,HRTEM,,1,1,,,0.15,a Bruker D8 Discover,18.1,CoO/NiFe2O4,,5,-25,25,10.4,6052,9.1,PPMS,-520,0,1,5,0.005,0.05,,10.1063/9.0000561,thermal decomposition and hydrothermal synthesis,,,,,,,,,
258,"cubic, cubic",fd3m,fd3m,CoO/NiFe2O4,CoO/NiFe2O4,12.5,12.5,12.5,pseudospherically,Co1O1,Ni1Fe2O4,,,1307-96-6,12168-54-6,,,,,,,0.15,a Bruker D8 Discover,12.5,CoO/NiFe2O4,,5,-25,25,8.3,9624,7.9,PPMS,-632,0,1,5,0.005,0.05,,10.1063/9.0000561,thermal decomposition and hydrothermal synthesis,,,,,,,,,
259,cubic,fm3m,0,NiO,NiO,2,2,2,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,2,NiO,,2,-80,80,53,0.27,1.8,,0,0,,0,0,0,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,,,,,,,,,
260,cubic,fm3m,0,NiO,NiO,2,2,2,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,2,NiO,,5,-80,80,50.86,275.86,1.35,,0,0,,0,0,0,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,,,,,,,,,
261,cubic,fm3m,0,NiO,NiO,2,2,2,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,2,NiO,,5,-80,80,66,275.86,1.35,,0,0,,0,0,0,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,,,,,,,,,
262,cubic,fm3m,0,NiO,NiO,4,4,4,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,4,NiO,,2,-80,80,5.88,2.04,0.3,,0,0,,0,0,0,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,58,,,,,,,,
263,cubic,fm3m,0,NiO,NiO,4,4,4,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,4,NiO,,20,-80,80,5.68,0.68,0.09,,0,0,,0,0,0,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,58,,,,,,,,
264,cubic,fm3m,0,NiO,NiO,4,4,4,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,4,NiO,,5,-80,80,5.74,2482.75,0.295,,-827.586,0.11,,8000,8,80,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,58,,,,,,,,
265,cubic,fm3m,0,NiO,NiO,4,4,4,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,4,NiO,,5,-80,80,5.67,2344.83,0.341,,0,0,,8000,8,80,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,58,,,,,,,,
266,cubic,fm3m,0,NiO,NiO,6,6,6,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,6,NiO,,5,-80,80,4.6,2711.86,0.2,,-1355.93,0.104,,8000,8,80,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,79,,,,,,,,
267,cubic,fm3m,0,NiO,NiO,6,6,6,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,6,NiO,,5,-80,80,4.53,2305,0.16,,0,0,,8000,8,80,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,79,,,,,,,,
268,cubic,fm3m,0,NiO,NiO,7,7,7,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,0,,,0.15406,X’Pert PRO MPD,7,NiO,,5,-80,80,4.05,3172.4,0.208,,2068.9,0.1171875,,8000,8,80,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,110,,,,,,,,
269,cubic,fm3m,0,NiO,NiO,7,7,7,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,0,,,0.15406,X’Pert PRO MPD,7,NiO,,5,-80,80,3.82,1724.13,0.143,,0,0,,8000,8,80,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,110,,,,,,,,
270,cubic,fm3m,0,NiO,NiO,9,9,9,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,9,NiO,,2,-80,80,2.94,1.13,0.12,,0,0,,0,0,0,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,155,,,,,,,,
271,cubic,fm3m,0,NiO,NiO,9,9,9,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,9,NiO,,20,-80,80,2.53,0.8,0.07,,0,0,,0,0,0,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,155,,,,,,,,
272,cubic,fm3m,0,NiO,NiO,9,9,9,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,9,NiO,,140,-80,80,1.469,0.11,0.01,,0,0,,0,0,0,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,155,,,,,,,,
273,cubic,fm3m,0,NiO,NiO,9,9,9,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,9,NiO,,5,-80,80,3.234,2847.4576,0.2089552,,2847.4576,0.2089552,,8000,8,80,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,155,,,,,,,,
274,cubic,fm3m,0,NiO,NiO,9,9,9,sphere,Ni1O1,0,nickel oxide,,1313-99-1,0,,,,,,,0.15406,X’Pert PRO MPD,9,NiO,,5,-80,80,3.09,1491.52,0.1432,,0,0,,8000,8,80,0.1,10.1088/0957-4484/26/30/305705,a high-temperature pyrolysis of a nickel nitrate,155,,,,,,,,
275,"fcc, fcc",fm3m,fm3m,Ni/NiO,Ni/NiO,9,9,9,quasi-spherical,Ni1,Ni1O1,metallic Ni and nickel monoxide,,7440-02-0,1313-99-1,TEM,100,,,,,0.15406,Philips X’Pert PRO MPD,6,Ni,,300,-90,90,4.61,0,0,,0,0,,0,0,0,,10.1039/c5tc01095k,"pyrolysis of an inorganic precursor taking place within the pores of an active carbon matrix at different temperatures between 673 and 1173 K, and a subsequent oxidation in air",,,,,,,,,
276,"fcc, fcc",fm3m,fm3m,Ni/NiO,Ni/NiO,10,10,10,quasi-spherical,Ni1,Ni1O1,metallic Ni and nickel monoxide,,7440-02-0,1313-99-1,TEM,100,,,,,0.15406,Philips X’Pert PRO MPD,7,Ni,,300,-90,90,8.01,,,,0,0,,0,0,0,,10.1039/c5tc01095k,"pyrolysis of an inorganic precursor taking place within the pores of an active carbon matrix at different temperatures between 673 and 1173 K, and a subsequent oxidation in air",,,,,,,,,
277,"fcc, fcc",fm3m,fm3m,Ni/NiO,Ni/NiO,11,11,11,quasi-spherical,Ni1,Ni1O1,metallic Ni and nickel monoxide,,7440-02-0,1313-99-1,TEM,100,,,,,0.15406,Philips X’Pert PRO MPD,9,Ni,,300,-90,90,12.21,,,,0,0,,0,0,0,,10.1039/c5tc01095k,"pyrolysis of an inorganic precursor taking place within the pores of an active carbon matrix at different temperatures between 673 and 1173 K, and a subsequent oxidation in air",,,,,,,,,
278,"fcc, fcc",fm3m,fm3m,Ni/NiO,Ni/NiO,16,16,16,quasi-spherical,Ni1,Ni1O1,metallic Ni and nickel monoxide,,7440-02-0,1313-99-1,TEM,100,,,,,0.15406,Philips X’Pert PRO MPD,13,Ni,,300,-90,90,28.41,63.6,0.7368,,0,0,,0,0,0,,10.1039/c5tc01095k,"pyrolysis of an inorganic precursor taking place within the pores of an active carbon matrix at different temperatures between 673 and 1173 K, and a subsequent oxidation in air",,,,,,,,,
279,"fcc, fcc",fm3m,fm3m,Ni/NiO,Ni/NiO,23,23,23,quasi-spherical,Ni1,Ni1O1,metallic Ni and nickel monoxide,,7440-02-0,1313-99-1,TEM,100,,,,,0.15406,Philips X’Pert PRO MPD,20,Ni,,300,-90,90,40.31,68.1,2.526,,0,0,,0,0,0,,10.1039/c5tc01095k,"pyrolysis of an inorganic precursor taking place within the pores of an active carbon matrix at different temperatures between 673 and 1173 K, and a subsequent oxidation in air",,,,,,,,,
